Delta-AY.119,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
0.0005107,0.000511,0.0005395,0.0005227,0.0005394,0.0005328,0.0005504,0.0005173,0.0005389,0.0005157,0.0006106
0.114218,0.1201249,0.1194654,0.1234089,0.1174942,0.1232389,0.1091242,0.117144,0.1227846,0.1193862,0.1153044
0.1380861,0.1652957,0.1673995,0.1443938,0.1602813,0.1421262,0.155639,0.1488068,0.1569981,0.150601,0.1482827
0.1552507,0.1964843,0.2092173,0.1781949,0.1749049,0.1512405,0.1711332,0.1802584,0.1760914,0.1676195,0.1875727
0.181281,0.2140957,0.2360854,0.2002327,0.1865885,0.1646645,0.1769074,0.2022401,0.2161556,0.1754554,0.2049733
0.1896737,0.2115891,0.241293,0.2192608,0.1934689,0.1766058,0.1937925,0.2293212,0.2270625,0.1725695,0.212196
0.1883684,0.226488,0.2630205,0.2209358,0.1789871,0.1989842,0.2014648,0.2496156,0.2352397,0.1976647,0.2231924
0.1973889,0.2283574,0.2672517,0.2225458,0.1926502,0.1934399,0.2353177,0.2621681,0.2379793,0.211562,0.2433428
0.2105435,0.2260656,0.2916993,0.2465445,0.2080327,0.208363,0.24628,0.2669483,0.235885,0.2290313,0.2763812
0.2243994,0.2474638,0.2992792,0.2710393,0.2360056,0.223547,0.2675774,0.2957573,0.2646105,0.2379788,0.2766629
0.2310667,0.2689197,0.3065703,0.2914731,0.2529587,0.2406277,0.2914065,0.3053348,0.2759035,0.2334128,0.2817444
0.230483,0.2916653,0.3167268,0.3227758,0.281364,0.268151,0.2941506,0.3147041,0.263609,0.2478982,0.2822064
0.236055,0.3051744,0.3179443,0.3333919,0.2914261,0.2853158,0.2943121,0.315614,0.2633061,0.2450018,0.2808307
0.2332021,0.3044247,0.3537712,0.331087,0.3091887,0.2904769,0.2886398,0.3299951,0.2457552,0.2671551,0.2983594
0.2309556,0.308365,0.3595582,0.3404995,0.3333725,0.2900158,0.2917617,0.3450528,0.2427956,0.2888851,0.2891288
0.235414,0.3170347,0.3505144,0.3520637,0.3384061,0.2941802,0.3016203,0.343385,0.2453573,0.3059782,0.2955758
0.2406236,0.3239384,0.3475559,0.3596019,0.3390397,0.2878686,0.3008793,0.3626458,0.2528883,0.305518,0.3066551
0.2467121,0.3476453,0.3647237,0.3420818,0.3443878,0.3030339,0.2885303,0.3541135,0.2678698,0.3028395,0.2975504
0.2632761,0.3665226,0.3686192,0.32072,0.3740364,0.3354292,0.3075637,0.344115,0.2833718,0.3086236,0.315205
0.2571377,0.3923741,0.3732892,0.3171044,0.3833858,0.3415372,0.3007767,0.353338,0.2998879,0.2789719,0.3353615
0.2603538,0.4305624,0.3845314,0.3213736,0.4046179,0.3505806,0.3175317,0.358304,0.3086319,0.2859184,0.3465756
0.2544942,0.4384844,0.4066961,0.3156075,0.4069983,0.3728838,0.3046427,0.356822,0.328306,0.3045577,0.3646628
0.2594489,0.4472035,0.41457,0.3306824,0.4122168,0.3758055,0.3338076,0.350033,0.3329928,0.3256707,0.3627516
0.2592633,0.4517546,0.4139118,0.3391279,0.4169277,0.3870496,0.3316161,0.3549248,0.3373777,0.3480388,0.3934079
0.2570367,0.445933,0.4329993,0.338077,0.4024738,0.3744266,0.3441786,0.3700671,0.3399763,0.3738354,0.4079354
0.2591093,0.4291842,0.4259699,0.3316668,0.3953126,0.3662559,0.3345881,0.3715044,0.3429212,0.3790853,0.3978942
0.2540262,0.4110982,0.4461103,0.356725,0.3915378,0.3553089,0.3491853,0.3749085,0.3642797,0.3593768,0.3879571
0.2580152,0.4164495,0.4699911,0.3837487,0.3953426,0.3672708,0.3758016,0.3687351,0.3800134,0.3510125,0.3885868
0.2597159,0.4154158,0.4795262,0.4166932,0.4201542,0.388738,0.3958603,0.3813205,0.3733544,0.3573149,0.388595
0.2764239,0.3942924,0.4788115,0.4452996,0.4100247,0.3951414,0.3975704,0.3832379,0.3704866,0.3657671,0.394836
0.2808041,0.3717363,0.4983872,0.435391,0.4275182,0.399465,0.4100229,0.3845489,0.37599,0.3793319,0.3872554
0.2904086,0.3990212,0.5129473,0.4213868,0.4693522,0.3946367,0.4303054,0.396989,0.3847263,0.3986051,0.3740538
0.2898367,0.3972122,0.5149121,0.412901,0.4891174,0.3754151,0.4185079,0.4192902,0.3814555,0.4181651,0.3607946
0.3019181,0.3879911,0.4963819,0.4024691,0.4696685,0.3595541,0.4076523,0.4231908,0.3876809,0.4311566,0.3793512
0.3042215,0.3837827,0.5013909,0.4142741,0.470706,0.3701615,0.4305325,0.4323248,0.3881227,0.4489972,0.3917104
0.3112447,0.3940704,0.4862881,0.4309018,0.471421,0.3570675,0.4394099,0.4520163,0.3991152,0.4697267,0.3937453
0.315527,0.387764,0.4900547,0.4249294,0.4572808,0.3517202,0.4758644,0.4519775,0.4061722,0.4621415,0.3986515
0.3192404,0.3988652,0.4906142,0.4196779,0.4378999,0.3674456,0.4738542,0.4599368,0.4107497,0.4756021,0.4160499
0.3109864,0.4094684,0.4914953,0.4371527,0.4418763,0.398189,0.458783,0.4469509,0.4001154,0.4828483,0.3894123
0.3097558,0.393107,0.4898012,0.4698291,0.4549306,0.400899,0.4632806,0.4530244,0.4224241,0.4954787,0.4083326
0.3128559,0.4242213,0.4807099,0.479709,0.458917,0.4150601,0.4892605,0.4459735,0.4234945,0.4937288,0.4248798
0.3233655,0.4492188,0.4897831,0.4874029,0.4508686,0.4083503,0.4983913,0.4264215,0.4357769,0.5122333,0.4381627
0.3320787,0.4530848,0.4992856,0.4738746,0.434671,0.385041,0.5103179,0.4222883,0.4406065,0.5082893,0.4424921
0.3274139,0.4725191,0.5014288,0.493751,0.4305756,0.3637302,0.4939133,0.432622,0.4477956,0.5092171,0.4444376
0.3234568,0.483148,0.5352217,0.5204864,0.4357165,0.3513096,0.4980132,0.4391261,0.4685405,0.4951833,0.4504565
0.3282188,0.4717661,0.5509672,0.5206385,0.4458428,0.3541964,0.507157,0.4452434,0.4967299,0.4941815,0.4416086
0.3284082,0.4764391,0.5557632,0.4955558,0.4446743,0.3791901,0.4969811,0.4566977,0.4917052,0.4844691,0.4640333
0.3347664,0.4830196,0.5566537,0.504343,0.4223956,0.3881356,0.4826596,0.4741236,0.4861116,0.488761,0.4635216
0.3310287,0.4870668,0.5727668,0.5098697,0.4313739,0.3825586,0.4797104,0.4846588,0.4965596,0.4727977,0.4533766
0.3397215,0.4721222,0.5708478,0.528263,0.4514871,0.3876782,0.4921909,0.4547329,0.5117388,0.4680487,0.4670053
0.3454421,0.4564444,0.5873143,0.5456514,0.4606063,0.3832948,0.5055418,0.4552893,0.5324832,0.4725546,0.4668828
0.3315962,0.4463524,0.6211929,0.5358062,0.4396513,0.389553,0.5313023,0.4431075,0.5477285,0.4675348,0.4681188
0.3353626,0.4230713,0.641005,0.5292451,0.4192099,0.4195672,0.5323771,0.4236606,0.5430285,0.485467,0.4848977
