Delta-AY.119,Isolate 1,Isolate 2,Isolate 3,Isolate 4
0.0005107,0.0005394,0.000511,0.0005268,0.0005564
0.114218,0.1174942,0.1201249,0.1084357,0.1298293
0.1380861,0.1602813,0.1652957,0.1382411,0.1705442
0.1552507,0.1749049,0.1964843,0.1844144,0.1921558
0.181281,0.1865885,0.2140957,0.2022004,0.2062322
0.1896737,0.1934689,0.2115891,0.197084,0.2262775
0.1883684,0.1789871,0.226488,0.2077252,0.2114893
0.1973889,0.1926502,0.2283574,0.2293327,0.2164313
0.2105435,0.2080327,0.2260656,0.2333151,0.2213001
0.2243994,0.2360056,0.2474638,0.2586493,0.2241824
0.2310667,0.2529587,0.2689197,0.2733771,0.231661
0.230483,0.281364,0.2916653,0.2801425,0.2539434
0.236055,0.2914261,0.3051744,0.2861089,0.26532
0.2332021,0.3091887,0.3044247,0.3031348,0.2953153
0.2309556,0.3333725,0.308365,0.3150499,0.3068464
0.235414,0.3384061,0.3170347,0.3253798,0.3113676
0.2406236,0.3390397,0.3239384,0.3143733,0.3438069
0.2467121,0.3443878,0.3476453,0.3171774,0.3634489
0.2632761,0.3740364,0.3665226,0.3174659,0.3429276
0.2571377,0.3833858,0.3923741,0.3388835,0.3561299
0.2603538,0.4046179,0.4305624,0.3361647,0.3351369
0.2544942,0.4069983,0.4384844,0.3348052,0.3365211
0.2594489,0.4122168,0.4472035,0.3501751,0.3636782
0.2592633,0.4169277,0.4517546,0.3865613,0.3651289
0.2570367,0.4024738,0.445933,0.4135,0.3694186
0.2591093,0.3953126,0.4291842,0.4327519,0.3868146
0.2540262,0.3915378,0.4110982,0.4404545,0.4079701
0.2580152,0.3953426,0.4164495,0.4394461,0.4262429
0.2597159,0.4201542,0.4154158,0.442109,0.4267449
0.2764239,0.4100247,0.3942924,0.4497712,0.4006282
0.2808041,0.4275182,0.3717363,0.4547737,0.3788011
0.2904086,0.4693522,0.3990212,0.4517289,0.3505362
