Delta-AY.119,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
0.0005029,0.0005,0.0005035,0.000504,0.0004962,0.0005038,0.0005016,0.0005,0.0005036,0.0004947,0.0005966
0.1214448,0.1486749,0.1436159,0.1367181,0.1322629,0.1294458,0.12705,0.1437348,0.1391459,0.1465343,0.1363301
0.1478428,0.1886466,0.1798485,0.1618397,0.1663198,0.1631426,0.1547395,0.1558241,0.1827055,0.1609378,0.1876845
0.1584236,0.2375333,0.2042289,0.202004,0.1828342,0.1775092,0.1965426,0.1731137,0.1956567,0.1983486,0.2305989
0.1680201,0.2296431,0.2336898,0.2078185,0.2043986,0.195868,0.2160952,0.2260984,0.2184755,0.2101995,0.2504423
0.1616395,0.2468629,0.2364051,0.2114147,0.2298803,0.2052195,0.2402144,0.2535059,0.2479207,0.206503,0.2821594
0.1587364,0.2855966,0.2410126,0.2550883,0.2201244,0.2250118,0.2519681,0.2484326,0.2552449,0.2191245,0.2927633
0.1623717,0.2751789,0.2712837,0.2277349,0.208477,0.2263965,0.2456255,0.2642641,0.2613954,0.2231691,0.3283638
0.1704028,0.276437,0.2906226,0.2349027,0.2214405,0.2499354,0.2638513,0.2623599,0.2574507,0.2233527,0.3419628
0.1780458,0.2849859,0.3194481,0.2839898,0.2342187,0.2540705,0.2664932,0.2649502,0.2624495,0.2300565,0.3289075
0.1795696,0.2954415,0.3236459,0.2862887,0.2414629,0.2535621,0.2658836,0.2882691,0.2785207,0.2186126,0.3499435
0.1803185,0.2975039,0.3232733,0.323826,0.2543983,0.2925483,0.2931056,0.3026044,0.2897514,0.2362465,0.3702504
0.1830781,0.3014639,0.336588,0.3508974,0.2582724,0.3080727,0.2954842,0.3201739,0.3080092,0.2385846,0.3536146
0.1745072,0.3025003,0.3487413,0.3333956,0.2684945,0.3200615,0.3021608,0.3164905,0.3025257,0.2590371,0.3683181
0.2003373,0.3072669,0.3726198,0.3348512,0.279256,0.323639,0.2946752,0.3183669,0.3114406,0.2775136,0.3742013
0.2101772,0.3247888,0.3572623,0.342328,0.2916536,0.3196945,0.3020876,0.3141322,0.2916619,0.2665132,0.3918824
0.2023187,0.301733,0.3406927,0.3111001,0.3154725,0.3192949,0.3270343,0.355745,0.2869818,0.283432,0.4181343
0.1947531,0.2997871,0.3417869,0.3142376,0.2917679,0.3277499,0.3367675,0.3884829,0.2997983,0.2594498,0.4197309
0.2232037,0.2919993,0.3345405,0.3088686,0.2936351,0.3400164,0.3545332,0.3779889,0.3167046,0.2859066,0.4377437
0.2162424,0.3105119,0.3369631,0.3272408,0.3199391,0.3618303,0.3431873,0.3727243,0.3256336,0.2793605,0.4398628
0.2018674,0.3132357,0.3322959,0.3343205,0.3142186,0.3265249,0.3718852,0.3616329,0.3435017,0.2959152,0.4382911
0.223557,0.330929,0.3761552,0.3486573,0.3103157,0.3463251,0.3595201,0.3767982,0.3615498,0.315882,0.4258624
0.2097113,0.3563623,0.3862959,0.3717898,0.3229819,0.3690921,0.3829251,0.3753883,0.3671521,0.3068302,0.4243349
0.2121189,0.3703736,0.3867239,0.3754789,0.3253085,0.3564901,0.3631434,0.3835222,0.3891554,0.3197737,0.4354801
0.2140984,0.3509027,0.3718876,0.3645422,0.3114962,0.3634517,0.3623974,0.4081568,0.3811513,0.3342769,0.428894
0.2094209,0.3439564,0.3588907,0.3638052,0.3257872,0.3619692,0.3653817,0.4166508,0.3613854,0.3421479,0.428794
0.2181507,0.3558239,0.374098,0.3881463,0.3286101,0.360795,0.3931842,0.4277717,0.3890446,0.3393378,0.4264273
0.204821,0.3756849,0.3677111,0.4050709,0.3330111,0.3748355,0.3896454,0.4093771,0.3809396,0.3360526,0.4208608
0.2026661,0.381837,0.3828493,0.4207119,0.3391289,0.3773489,0.4375685,0.4008229,0.3754346,0.3697713,0.4431049
0.2069189,0.3729382,0.3685496,0.4233957,0.329656,0.3975516,0.4233821,0.3948083,0.3944984,0.3783898,0.43003
0.2119878,0.3615951,0.3692937,0.4080048,0.313604,0.405943,0.4114724,0.419907,0.4062548,0.3875483,0.4348897
0.2107007,0.3679524,0.3587163,0.4058913,0.3322273,0.4019868,0.4348258,0.4245342,0.4001803,0.3845396,0.4222263
0.2229119,0.3575127,0.3538407,0.3843621,0.3425407,0.3817661,0.4127565,0.4399424,0.3901086,0.4022321,0.4205774
0.232096,0.3697487,0.3567841,0.3830348,0.3684746,0.3806055,0.4004165,0.4308583,0.3906732,0.4138556,0.4185631
0.2375349,0.3607066,0.3425616,0.3962397,0.3957405,0.3982112,0.4152535,0.4594988,0.3836236,0.3970428,0.4223318
0.2571625,0.3524859,0.362496,0.4037189,0.39382,0.3987351,0.4174872,0.4923904,0.3922538,0.4093528,0.4472449
0.2365767,0.3345194,0.3420585,0.413131,0.40414,0.3829024,0.4420969,0.4905965,0.3957926,0.4152744,0.4367493
0.2306467,0.3426251,0.3278741,0.4310284,0.4010406,0.3720514,0.449708,0.4860867,0.3897333,0.4022758,0.462247
0.2400474,0.3402961,0.3067058,0.4411733,0.3985189,0.3627512,0.4403976,0.454303,0.4153298,0.3990196,0.4582599
0.2480155,0.3367831,0.3202276,0.4714184,0.3869525,0.3708337,0.4383835,0.4382331,0.4411728,0.4211577,0.4661565
0.2490491,0.3349236,0.3237353,0.4995992,0.3996223,0.3885788,0.4648006,0.4241212,0.4382795,0.3906969,0.4901785
0.2707404,0.3717847,0.3429106,0.520299,0.4002412,0.3804101,0.488361,0.4154163,0.4442695,0.4250276,0.5022573
0.2736643,0.3706503,0.3627294,0.4621586,0.4202538,0.4009904,0.4894331,0.4382094,0.444673,0.4001159,0.4862312
0.2568334,0.3854681,0.3899905,0.4626401,0.3966931,0.4055735,0.491004,0.4562397,0.4528047,0.4037479,0.4867233
0.2592561,0.401478,0.3909963,0.4571942,0.4058483,0.4003063,0.4731005,0.445816,0.4702262,0.3842467,0.481772
0.2634203,0.4009192,0.3774008,0.4546441,0.3907926,0.4085441,0.4929888,0.4547172,0.4788001,0.3720534,0.4849503
0.2617206,0.4065512,0.4197337,0.4530742,0.3724393,0.3992605,0.4844429,0.4437713,0.4538809,0.3782604,0.4985959
0.2656128,0.4082464,0.4026738,0.4804061,0.4003823,0.3934271,0.4923438,0.4580791,0.4533619,0.4044307,0.5000544
