Delta-AY.119,Isolate 2,Isolate 1,Isolate 3,Isolate 4
0.0005029,0.0005,0.0004962,0.0005007,0.0005051
0.1214448,0.1486749,0.1322629,0.1306759,0.1457803
0.1478428,0.1886466,0.1663198,0.1660022,0.1683995
0.1584236,0.2375333,0.1828342,0.2045676,0.1873807
0.1680201,0.2296431,0.2043986,0.2110726,0.2109548
0.1616395,0.2468629,0.2298803,0.2061215,0.2523606
0.1587364,0.2855966,0.2201244,0.2095497,0.2449083
0.1623717,0.2751789,0.208477,0.2131761,0.2318599
0.1704028,0.276437,0.2214405,0.2158316,0.2556111
0.1780458,0.2849859,0.2342187,0.2291741,0.2703467
0.1795696,0.2954415,0.2414629,0.2458929,0.2790669
0.1803185,0.2975039,0.2543983,0.2509788,0.2953818
0.1830781,0.3014639,0.2582724,0.2485046,0.2795172
0.1745072,0.3025003,0.2684945,0.2479314,0.3010878
0.2003373,0.3072669,0.279256,0.2703125,0.2786867
0.2101772,0.3247888,0.2916536,0.2719434,0.2813363
0.2023187,0.301733,0.3154725,0.2585716,0.2948072
0.1947531,0.2997871,0.2917679,0.2676718,0.3190828
0.2232037,0.2919993,0.2936351,0.2646621,0.2923215
0.2162424,0.3105119,0.3199391,0.270508,0.3115703
0.2018674,0.3132357,0.3142186,0.2841528,0.277075
0.223557,0.330929,0.3103157,0.2909471,0.2988755
0.2097113,0.3563623,0.3229819,0.3114394,0.3095063
0.2121189,0.3703736,0.3253085,0.3278356,0.317521
0.2140984,0.3509027,0.3114962,0.338579,0.3146244
0.2094209,0.3439564,0.3257872,0.3332282,0.3129347
0.2181507,0.3558239,0.3286101,0.3449798,0.3120697
0.204821,0.3756849,0.3330111,0.353802,0.3350617
0.2026661,0.381837,0.3391289,0.3505011,0.3281049
0.2069189,0.3729382,0.329656,0.3463008,0.3241431
0.2119878,0.3615951,0.313604,0.3754245,0.305492
0.2107007,0.3679524,0.3322273,0.3658255,0.3151358
0.2229119,0.3575127,0.3425407,0.3934088,0.32356
0.232096,0.3697487,0.3684746,0.3916429,0.3377628
