Delta-AY.119,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
0.000509,0.0004988,0.0005026,0.0005066,0.0005003,0.0005017,0.0005053,0.0005031,0.0005014,0.0005003,0.0005048
0.1118942,0.106779,0.1201752,0.115835,0.1130634,0.1245558,0.1123119,0.1146291,0.1202807,0.1225949,0.1152293
0.1270147,0.1259828,0.1390867,0.1337492,0.1237882,0.1420035,0.1350727,0.1283224,0.1346326,0.1458827,0.1579402
0.1446283,0.1224309,0.1493375,0.1565383,0.1285421,0.1386533,0.1381867,0.1309322,0.1241149,0.1538408,0.1685522
0.14688,0.1366253,0.1490509,0.1572607,0.1262918,0.1349571,0.1551922,0.1414824,0.146387,0.168508,0.1842676
0.1526219,0.1429996,0.1677476,0.1658974,0.1364936,0.1441322,0.1583896,0.1358135,0.1478668,0.1804593,0.2120908
0.1647631,0.1532315,0.1786612,0.1652486,0.1385774,0.1523473,0.1781935,0.1410536,0.1528181,0.185259,0.2032236
0.1744963,0.1717689,0.1697416,0.1672808,0.1433303,0.1433783,0.1727713,0.147702,0.151864,0.1809413,0.1927062
0.1717377,0.1640625,0.1851839,0.1749539,0.1404619,0.143088,0.1835334,0.154545,0.1536278,0.1680792,0.2054199
0.1614903,0.1638128,0.1750641,0.1733719,0.1458701,0.1461773,0.1612015,0.1520986,0.1627844,0.1774915,0.2158978
0.1545186,0.1766528,0.1731779,0.1821915,0.1413986,0.143881,0.1599747,0.1474454,0.1487164,0.1883582,0.2177586
0.1651551,0.1773495,0.1794412,0.176944,0.1437438,0.154322,0.1696145,0.1604561,0.1553799,0.1837886,0.2050256
0.1513474,0.1852977,0.1828837,0.1774311,0.1462628,0.1566974,0.1651268,0.1746019,0.148857,0.1770577,0.2045933
0.1688975,0.1693625,0.2077254,0.1722494,0.1619677,0.1481448,0.1610129,0.1823447,0.1560472,0.1803184,0.2207088
0.1535304,0.1918787,0.1927266,0.172262,0.1723337,0.143275,0.1801162,0.1858049,0.1612033,0.1940332,0.201885
0.143696,0.1812716,0.2015174,0.16502,0.1598893,0.1477935,0.1828782,0.197486,0.164162,0.1899471,0.1993141
0.1475493,0.1860626,0.1948956,0.1732198,0.1712839,0.1562152,0.1765707,0.1846896,0.1431824,0.192338,0.208919
0.161872,0.1969949,0.2060818,0.1782864,0.1956855,0.1587039,0.1853708,0.1951074,0.1452781,0.1896247,0.2134839
0.1575669,0.2055308,0.2012871,0.1864475,0.1837997,0.1538539,0.1755172,0.1856031,0.153505,0.1715961,0.2129937
0.1686948,0.1882955,0.1937814,0.1799284,0.179072,0.1542978,0.1829076,0.1946817,0.1911068,0.1878189,0.220162
0.1852714,0.1930283,0.1743297,0.1926567,0.1748758,0.1691118,0.1838327,0.2053067,0.1871146,0.1900153,0.2230188
0.1878097,0.2009478,0.1823751,0.2108683,0.1733807,0.1935294,0.1770434,0.1901034,0.1952992,0.196064,0.2561644
0.1865099,0.2002019,0.1915169,0.1902858,0.1715178,0.1711122,0.1852074,0.1984926,0.2120805,0.2227304,0.2339455
0.1935868,0.2010387,0.1864879,0.2066109,0.1730684,0.1753032,0.1833372,0.2026429,0.2175694,0.2604822,0.2252267
0.2003953,0.1971554,0.1900821,0.1949051,0.1760881,0.1861392,0.1743326,0.1746076,0.2004005,0.2435993,0.2317529
0.1934574,0.2032424,0.1914121,0.1952021,0.1804278,0.1910478,0.1714212,0.1777339,0.2059419,0.2446724,0.2178633
0.1767518,0.1893262,0.1986805,0.1910682,0.1659835,0.1943203,0.1681581,0.1912137,0.2110263,0.2289582,0.2239502
0.1737652,0.2174382,0.2041889,0.1632752,0.1816548,0.1936037,0.1622698,0.1797483,0.2016448,0.2280196,0.2052429
0.1798868,0.213464,0.2005465,0.1659622,0.1750891,0.2013228,0.1758353,0.1815083,0.2005315,0.234005,0.1895436
0.1751868,0.214731,0.2285801,0.1625573,0.1807114,0.1826714,0.1752796,0.1818857,0.199983,0.2432387,0.1989448
0.1987772,0.2174705,0.2307273,0.1678924,0.1803916,0.1923682,0.1772986,0.1859474,0.2221484,0.2329044,0.2208262
0.193394,0.228618,0.2163955,0.1717432,0.1852363,0.1963732,0.1784754,0.1847772,0.2106891,0.2415501,0.2156125
0.201366,0.2401771,0.2337984,0.1819493,0.1752197,0.1828543,0.1817035,0.1884375,0.2097859,0.2322398,0.204424
0.2068946,0.2205192,0.2444642,0.1732088,0.1954289,0.1798504,0.1731439,0.1853228,0.2034691,0.2562763,0.2211317
0.2212849,0.2477702,0.2278082,0.1875274,0.1881622,0.1804757,0.1851752,0.1841266,0.1998737,0.2375973,0.230524
0.2050871,0.2229842,0.2244398,0.2020035,0.1817771,0.1798084,0.1841819,0.1943178,0.1921527,0.2531518,0.2139605
0.2250309,0.2456743,0.2225705,0.1986676,0.1963094,0.1784442,0.1736668,0.1918812,0.2027561,0.2356536,0.2113783
0.2403867,0.2469666,0.2305868,0.1853848,0.2025705,0.184174,0.1813593,0.1862473,0.2177854,0.2541747,0.2060874
0.2552912,0.2244429,0.233149,0.1874643,0.1905176,0.1746951,0.1821621,0.192628,0.2074788,0.2724167,0.2099943
0.2515477,0.2244986,0.2264062,0.1922957,0.1920852,0.1745475,0.1951695,0.1867005,0.2076073,0.2729724,0.1938089
0.2482034,0.2470503,0.2171082,0.2022355,0.2011478,0.1746969,0.1896888,0.1805851,0.2076984,0.2806448,0.1777234
0.2599138,0.2417285,0.2571832,0.1996158,0.1985021,0.17973,0.1800329,0.1820351,0.2050475,0.30152,0.2014935
0.2535672,0.2462867,0.2382072,0.2196297,0.1978356,0.1785024,0.181593,0.1757129,0.2061936,0.2829584,0.2039996
0.2356823,0.2442226,0.2418796,0.215335,0.1940029,0.188333,0.191938,0.1649278,0.205782,0.2774925,0.195356
0.2482646,0.2572719,0.2750368,0.234423,0.1975867,0.1854469,0.188717,0.1792543,0.198915,0.2874402,0.2078916
0.2487401,0.262187,0.2518309,0.2338939,0.2076567,0.1932372,0.1848633,0.1767815,0.2066971,0.2654507,0.2010489
0.2584835,0.2593718,0.2150472,0.2072089,0.1998494,0.1919183,0.1826413,0.1899749,0.203965,0.2595643,0.2041169
0.2552725,0.257898,0.2334951,0.2022604,0.2029172,0.1986213,0.1876801,0.2004622,0.2138067,0.2708276,0.204558
0.2531348,0.2442483,0.2326542,0.1905726,0.204547,0.1967869,0.1956465,0.1869351,0.2256148,0.2421922,0.2049937
0.2751905,0.2468494,0.2372088,0.1916763,0.2169213,0.1926857,0.1945498,0.1868074,0.2216195,0.2514069,0.2121263
0.2555619,0.2673521,0.2291929,0.1971747,0.2218814,0.1983528,0.1950834,0.186764,0.239922,0.2779681,0.2187305
