Delta-AY.119,Isolate 2,Isolate 1,Isolate 3,Isolate 4
0.000509,0.0004988,0.0005003,0.0005001,0.000509
0.1118942,0.106779,0.1130634,0.1209402,0.1096452
0.1270147,0.1259828,0.1237882,0.1328004,0.1115282
0.1446283,0.1224309,0.1285421,0.1399035,0.1175461
0.14688,0.1366253,0.1262918,0.135866,0.1238813
0.1526219,0.1429996,0.1364936,0.148548,0.1403752
0.1647631,0.1532315,0.1385774,0.1635137,0.1398388
0.1744963,0.1717689,0.1433303,0.1624108,0.154218
0.1717377,0.1640625,0.1404619,0.1697526,0.1528363
0.1614903,0.1638128,0.1458701,0.175556,0.1576707
0.1545186,0.1766528,0.1413986,0.1900622,0.1499244
0.1651551,0.1773495,0.1437438,0.1870288,0.155246
0.1513474,0.1852977,0.1462628,0.1862147,0.1564061
0.1688975,0.1693625,0.1619677,0.1908267,0.1494352
0.1535304,0.1918787,0.1723337,0.1770598,0.142737
0.143696,0.1812716,0.1598893,0.1747878,0.159509
0.1475493,0.1860626,0.1712839,0.2022513,0.1779454
0.161872,0.1969949,0.1956855,0.2247022,0.1930041
0.1575669,0.2055308,0.1837997,0.1961369,0.1879906
0.1686948,0.1882955,0.179072,0.2120908,0.1829223
0.1852714,0.1930283,0.1748758,0.2278703,0.1824357
0.1878097,0.2009478,0.1733807,0.1994068,0.1717366
0.1865099,0.2002019,0.1715178,0.1881219,0.1763805
0.1935868,0.2010387,0.1730684,0.199371,0.1777836
0.2003953,0.1971554,0.1760881,0.1854243,0.181557
0.1934574,0.2032424,0.1804278,0.212699,0.1961515
0.1767518,0.1893262,0.1659835,0.2103207,0.1856923
0.1737652,0.2174382,0.1816548,0.2035095,0.1937262
0.1798868,0.213464,0.1750891,0.2059317,0.1767088
0.1751868,0.214731,0.1807114,0.1960944,0.188741
0.1987772,0.2174705,0.1803916,0.2143618,0.1873935
0.193394,0.228618,0.1852363,0.2123317,0.1939499
0.201366,0.2401771,0.1752197,0.2156278,0.1994673
0.2068946,0.2205192,0.1954289,0.2245498,0.200129
0.2212849,0.2477702,0.1881622,0.212308,0.1944409
0.2050871,0.2229842,0.1817771,0.2223769,0.2093413
0.2250309,0.2456743,0.1963094,0.2400055,0.2050955
0.2403867,0.2469666,0.2025705,0.2634754,0.2107169
0.2552912,0.2244429,0.1905176,0.2387228,0.1997208
0.2515477,0.2244986,0.1920852,0.2564083,0.2072984
0.2482034,0.2470503,0.2011478,0.2451471,0.1975126
0.2599138,0.2417285,0.1985021,0.2405515,0.1915111
0.2535672,0.2462867,0.1978356,0.2430829,0.2077397
0.2356823,0.2442226,0.1940029,0.2604984,0.2036586
0.2482646,0.2572719,0.1975867,0.2338409,0.2021484
0.2487401,0.262187,0.2076567,0.2367923,0.2079574
0.2584835,0.2593718,0.1998494,0.2513102,0.1999832
0.2552725,0.257898,0.2029172,0.2532179,0.2098025
0.2531348,0.2442483,0.204547,0.2437731,0.203642
0.2751905,0.2468494,0.2169213,0.2548539,0.2170092
0.2555619,0.2673521,0.2218814,0.2576864,0.2188597
0.2704586,0.2763844,0.2198217,0.2454068,0.2417965
0.2709288,0.2396819,0.2023659,0.2413695,0.2345284
0.2560781,0.2463279,0.2147284,0.2413754,0.2269301
0.2611218,0.2594708,0.2064937,0.2481357,0.2116509
0.2697547,0.2784106,0.2063591,0.2432633,0.2067883
0.2825891,0.2894766,0.2260713,0.2446275,0.2272956
0.2611092,0.2781756,0.2409978,0.2454346,0.2342845
0.2510167,0.2844585,0.2463837,0.2498433,0.2224956
0.2534456,0.268867,0.2253138,0.2590597,0.2395202
0.2465811,0.284367,0.2249118,0.2595749,0.2382197
0.2586179,0.2778923,0.2278636,0.2454583,0.2223391
0.2376282,0.2867861,0.2423801,0.2565506,0.2277058
