Delta-AY.119,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
0.0005002,0.0005057,0.000494,0.0005008,0.000502,0.0005043,0.0005097,0.0004997,0.0004995,0.0005036,0.0005244
0.1144355,0.1009203,0.1054008,0.1231023,0.1091791,0.1190611,0.1214329,0.1190398,0.1210874,0.1246361,0.1094556
0.1306152,0.1086804,0.1058455,0.1484092,0.1180978,0.1396937,0.1270456,0.1230954,0.134013,0.128422,0.1395545
0.151264,0.1101943,0.116737,0.1618462,0.1290408,0.1282849,0.1429849,0.1215063,0.1255174,0.1329864,0.1437803
0.1543558,0.1315019,0.1245043,0.1665663,0.1216862,0.1341987,0.1369775,0.1323818,0.1479519,0.1257395,0.1641932
0.1607583,0.1421728,0.1385507,0.1824494,0.1287992,0.1404539,0.1533018,0.1359521,0.1399658,0.1485382,0.159377
0.1730239,0.1332194,0.1346361,0.1812991,0.1316363,0.1371213,0.1600497,0.143588,0.1460466,0.1512058,0.1510696
0.1799546,0.1489065,0.1430384,0.1770249,0.142624,0.1320469,0.1617249,0.1486912,0.1495937,0.1441303,0.1470727
0.1694874,0.1464479,0.1342654,0.1930422,0.1328284,0.1425708,0.1587971,0.1457776,0.1431217,0.1606961,0.142497
0.1591927,0.1502362,0.1473905,0.1815204,0.143779,0.1544482,0.1675749,0.1490231,0.1464991,0.1637474,0.1513728
0.1646942,0.1621467,0.1578999,0.1851818,0.1539187,0.1458136,0.1577283,0.1412174,0.1573071,0.1788338,0.1563019
0.1696685,0.1767788,0.1641821,0.1698574,0.1433736,0.1660841,0.1558812,0.1582924,0.1513376,0.1719069,0.1495072
0.181585,0.1641638,0.1592577,0.1662525,0.1460361,0.1583041,0.1666009,0.169047,0.161091,0.1603097,0.1651374
0.1742668,0.1684603,0.175358,0.1625136,0.1558809,0.1499793,0.1718907,0.1730006,0.1600292,0.1719647,0.1700386
0.1794019,0.1847304,0.1604813,0.1727851,0.1548554,0.1584366,0.1748321,0.1651484,0.1844624,0.1819444,0.1686796
0.1678555,0.1697519,0.1720755,0.1603527,0.1517192,0.1564552,0.1820698,0.1802083,0.1805409,0.175154,0.1537915
0.1843755,0.1711349,0.1682218,0.1806253,0.1620799,0.165577,0.1875109,0.1581353,0.1620375,0.1735755,0.176206
0.1875575,0.1638815,0.1716992,0.1817318,0.1916945,0.1601379,0.1957179,0.1601595,0.15405,0.1776758,0.1598791
0.1844534,0.1693441,0.1707098,0.1940954,0.181835,0.1643061,0.1928889,0.1646812,0.1535584,0.1650303,0.1541761
0.1861226,0.1760628,0.1759756,0.1858005,0.1740406,0.1784015,0.1838184,0.1871645,0.1759396,0.1646951,0.1593694
0.1786957,0.1858158,0.1712988,0.1925009,0.1780833,0.1831078,0.1870463,0.1765029,0.1713648,0.1642192,0.1681873
0.1831346,0.1912725,0.1681553,0.1987692,0.1899377,0.1906795,0.1819946,0.1768061,0.1649749,0.1798235,0.1746565
0.1850785,0.1935565,0.1792217,0.1936319,0.2075229,0.1853341,0.1871244,0.1824118,0.1802612,0.1737154,0.1866416
0.1899586,0.1735736,0.1701985,0.1923698,0.1998484,0.2012668,0.1916029,0.1872535,0.1953539,0.1877122,0.1782542
0.1818461,0.1751029,0.1700842,0.1923904,0.1920715,0.1905186,0.1883113,0.1719023,0.1923569,0.1779978,0.1810259
0.1814615,0.1835453,0.1709146,0.1944946,0.2016838,0.200333,0.2024629,0.1708013,0.2034637,0.1982841,0.1726304
0.1644519,0.1889529,0.1818131,0.1903264,0.2008117,0.1918347,0.1987231,0.1639397,0.1993254,0.1887258,0.1671149
0.1733499,0.2018162,0.173527,0.2064989,0.2033802,0.2006621,0.1955728,0.1674351,0.1975002,0.171471,0.1644962
0.1803516,0.1907243,0.1731445,0.2076598,0.2096516,0.1896724,0.2111836,0.1609579,0.1889939,0.1797435,0.1565164
0.180314,0.1969331,0.1892899,0.2215184,0.1977983,0.1929221,0.1981404,0.1579182,0.2005311,0.189352,0.1648146
0.2012555,0.2034741,0.1942835,0.2169498,0.1908157,0.1821143,0.1879513,0.1732142,0.1931523,0.1865011,0.1713847
0.1968498,0.1990527,0.1788675,0.2261522,0.2073791,0.1894813,0.1895893,0.1807144,0.1847805,0.1764352,0.1575248
0.1901928,0.2149556,0.2069492,0.2308512,0.1953321,0.1731089,0.1962576,0.1800168,0.1905513,0.1797221,0.1875726
0.1921598,0.2054774,0.1952058,0.206683,0.2051724,0.1879392,0.2008175,0.1857711,0.1756109,0.1833789,0.1942567
0.2077366,0.2120004,0.1901066,0.2144966,0.1969099,0.1889729,0.2100295,0.2032303,0.1865145,0.1901762,0.1939297
0.182922,0.1990779,0.2002081,0.2250291,0.2047907,0.1820228,0.2099712,0.2025486,0.1957679,0.1909871,0.1791606
0.1946381,0.2107754,0.2006396,0.2243633,0.202929,0.1817953,0.2149226,0.1962829,0.1854986,0.2057197,0.1828465
0.2075932,0.2116305,0.2075983,0.2028317,0.1973634,0.1797977,0.2158484,0.1827919,0.2052767,0.2115211,0.1848396
0.2114028,0.2033941,0.195314,0.2027701,0.2046689,0.1779653,0.2129326,0.1845022,0.1809349,0.215503,0.1848958
0.2150004,0.2037292,0.1815555,0.1983111,0.1926057,0.1707321,0.202842,0.16955,0.192262,0.2178489,0.1695927
0.201013,0.2012549,0.1927825,0.193024,0.1953534,0.1696577,0.2088273,0.1703798,0.1965079,0.2091405,0.1937197
0.2090282,0.1972258,0.2208048,0.1879917,0.1768536,0.1803692,0.2150563,0.1721184,0.1868284,0.2025085,0.1872133
0.2067559,0.215832,0.2035553,0.193714,0.1842524,0.1850793,0.2189638,0.1737065,0.208366,0.1832084,0.1862894
0.2184182,0.1965912,0.2064653,0.1888937,0.1814827,0.2009379,0.2121466,0.1899626,0.201271,0.1678329,0.1902189
0.2265244,0.1982692,0.2294872,0.2026666,0.1868428,0.18628,0.2172484,0.1920092,0.1919284,0.1897256,0.1885242
0.2290225,0.2074322,0.2225828,0.1875327,0.1860327,0.1933812,0.2011084,0.1977039,0.1796962,0.177313,0.1762749
0.2358534,0.2237464,0.2047634,0.1891382,0.1985745,0.1878465,0.2110236,0.2022143,0.2033697,0.1776815,0.1862807
0.2259932,0.1952793,0.2031339,0.1959557,0.2108586,0.1819794,0.2107987,0.2002818,0.191788,0.1860002,0.1789481
0.2237754,0.1977386,0.2114598,0.1952112,0.2145826,0.1770309,0.2181228,0.1981483,0.1868621,0.1852372,0.2005067
0.2333335,0.204023,0.2203231,0.1978021,0.2054805,0.1895449,0.2259841,0.1849954,0.1906631,0.1856805,0.1962925
0.2140878,0.2000353,0.2123051,0.2053481,0.22752,0.1764153,0.2270418,0.1792097,0.2007172,0.1960683,0.1903056
0.2198515,0.2012348,0.2276641,0.1983385,0.2148859,0.1729999,0.2245479,0.1971761,0.2093982,0.1928352,0.1928959
0.2165589,0.2117571,0.228752,0.1952108,0.2178886,0.1819359,0.2447672,0.1955323,0.2022842,0.205035,0.1989875
0.2260495,0.2224619,0.2243853,0.1902225,0.216256,0.1934654,0.2553684,0.2004196,0.1989332,0.2062683,0.2055754
0.2226048,0.2217699,0.2163993,0.201632,0.2155865,0.2016526,0.2359219,0.2076539,0.190773,0.2109946,0.1962632
0.2219247,0.212394,0.2217353,0.2155736,0.2157803,0.1904334,0.2418707,0.2114908,0.2064141,0.2082697,0.1989373
0.2312742,0.221062,0.2162883,0.2076742,0.2105081,0.1929465,0.2349214,0.2105791,0.2142335,0.211515,0.1865971
0.2175136,0.2207445,0.2140544,0.207077,0.224671,0.198541,0.2476609,0.2054736,0.1975597,0.1999388,0.1898658
0.2200575,0.2158522,0.2074247,0.217047,0.2193944,0.1944496,0.2343043,0.2073924,0.1768568,0.2150127,0.1886152
0.2400888,0.2167366,0.2062184,0.2102345,0.2233236,0.1959912,0.2469875,0.1935984,0.1939199,0.2109859,0.1803648
0.2397493,0.2160092,0.2021157,0.2094669,0.2296924,0.1988957,0.2442187,0.1972095,0.1983228,0.2191208,0.1789331
0.2248362,0.2126525,0.2047398,0.2006056,0.2272332,0.198275,0.2360374,0.2034651,0.1877871,0.234649,0.1850836
0.214911,0.2114919,0.2133016,0.1965315,0.2431167,0.2094401,0.2381155,0.2092437,0.1922893,0.2408178,0.194716
0.2240105,0.2056895,0.2230343,0.200635,0.2214114,0.205118,0.2443237,0.2004192,0.1833139,0.2343527,0.1958667
0.2249558,0.2243644,0.2236982,0.2015653,0.222872,0.2047759,0.2407833,0.1904224,0.1919878,0.2439087,0.2015823
0.2423955,0.2317051,0.227978,0.2029533,0.2223725,0.2105643,0.2287874,0.1840085,0.1883194,0.2330831,0.2071984
0.2278836,0.2275759,0.220793,0.192573,0.2140027,0.2157021,0.2310883,0.1930532,0.2029894,0.2102744,0.1820516
0.2291427,0.2349853,0.2169811,0.2002368,0.2234326,0.2120786,0.2304225,0.2179445,0.2063174,0.212591,0.1786877
0.2311549,0.2394528,0.21814,0.2060136,0.2317014,0.2110519,0.2393259,0.2069405,0.1926127,0.2232324,0.1825739
0.2345899,0.2355682,0.2202997,0.1976836,0.2283023,0.2207732,0.2348454,0.1905833,0.200504,0.2179724,0.1925259
0.2519713,0.2321354,0.228891,0.1968975,0.211278,0.2262843,0.2453378,0.1974187,0.2002106,0.2176216,0.1932889
0.2446543,0.238004,0.2160963,0.2019454,0.2175667,0.2176483,0.2348946,0.1865426,0.207027,0.2138916,0.1950819
0.2208087,0.2233065,0.2113082,0.2041543,0.2237313,0.2053768,0.2281807,0.1927456,0.2128283,0.2262913,0.1983172
0.233682,0.2275798,0.2231483,0.2122807,0.2156551,0.2098114,0.2342288,0.1792409,0.2133892,0.2287898,0.1953584
0.2503204,0.2194763,0.2157427,0.224683,0.2404584,0.2094189,0.2220121,0.1799213,0.204583,0.2185966,0.1912473
0.2440578,0.235291,0.2118507,0.2104248,0.2240717,0.2075148,0.2272058,0.1854488,0.1985738,0.2057623,0.1948381
0.2263362,0.2253723,0.2207296,0.2129628,0.2214322,0.2021533,0.235009,0.1829887,0.1990751,0.206821,0.20387
0.2413981,0.2276317,0.2416784,0.2028954,0.2277235,0.2064503,0.2416617,0.189135,0.2027352,0.2072574,0.1962893
0.2429651,0.2297861,0.230689,0.2009117,0.232627,0.2135233,0.2275739,0.1781623,0.1975383,0.2050517,0.2036137
0.23919,0.2281268,0.2395241,0.2299199,0.2219178,0.217472,0.232349,0.1771325,0.1960988,0.202002,0.2003664
0.2447099,0.2317246,0.2351221,0.2090881,0.2281059,0.2059698,0.2396084,0.1788041,0.2085279,0.2033435,0.2124933
0.2354284,0.2214885,0.2318242,0.2276817,0.2336399,0.2046895,0.2369478,0.1803469,0.1959688,0.2029877,0.2083346
0.2398643,0.2150485,0.2291961,0.2197911,0.234656,0.2159888,0.2453885,0.1884874,0.2034566,0.1943244,0.1986021
0.2313863,0.2099632,0.2284419,0.213695,0.2381904,0.2045094,0.2338268,0.183653,0.203889,0.2058079,0.2038052
0.2447729,0.2108527,0.2161601,0.2188234,0.2347485,0.2025121,0.2270539,0.1865295,0.2010277,0.2024619,0.2009842
0.2350158,0.2177236,0.2170035,0.2160307,0.2448384,0.1983647,0.2331218,0.1828417,0.1906968,0.2059703,0.1885907
0.2136458,0.2224374,0.2171507,0.2283257,0.2559236,0.1881237,0.256853,0.1906846,0.2075074,0.1998476,0.1930145
0.246185,0.2234512,0.218343,0.2079527,0.2453518,0.1891056,0.2509372,0.1835672,0.2165909,0.2008283,0.2047129
0.2240006,0.2313042,0.2341192,0.220843,0.2496784,0.179788,0.229606,0.1873688,0.2039554,0.2117568,0.2267946
0.235045,0.2180781,0.2510515,0.2194387,0.2445906,0.1951648,0.2141448,0.1784012,0.2138131,0.2062697,0.2108624
0.2472027,0.2325218,0.2361481,0.2294009,0.2538443,0.1823591,0.2109873,0.1815099,0.1859969,0.2233008,0.2084813
0.255121,0.2161525,0.2296739,0.2189201,0.2526738,0.1988155,0.2263711,0.1863783,0.1945693,0.2311936,0.209624
