Delta-AY.119,Isolate 1,Isolate 2,Isolate 3,Isolate 4
0.0005002,0.000502,0.0005057,0.0004998,0.0005016
0.1144355,0.1091791,0.1009203,0.1041843,0.1213896
0.1306152,0.1180978,0.1086804,0.1472487,0.1248009
0.151264,0.1290408,0.1101943,0.1440926,0.1356871
0.1543558,0.1216862,0.1315019,0.1449652,0.1298292
0.1607583,0.1287992,0.1421728,0.141955,0.1352565
0.1730239,0.1316363,0.1332194,0.146726,0.1464649
0.1799546,0.142624,0.1489065,0.1557904,0.1451999
0.1694874,0.1328284,0.1464479,0.1617682,0.1500221
0.1591927,0.143779,0.1502362,0.1581519,0.1519175
0.1646942,0.1539187,0.1621467,0.1607634,0.1530087
0.1696685,0.1433736,0.1767788,0.1699422,0.162225
0.181585,0.1460361,0.1641638,0.1808125,0.1719534
0.1742668,0.1558809,0.1684603,0.1819355,0.1662303
0.1794019,0.1548554,0.1847304,0.180555,0.1540648
0.1678555,0.1517192,0.1697519,0.2031526,0.1673542
0.1843755,0.1620799,0.1711349,0.1877672,0.158981
0.1875575,0.1916945,0.1638815,0.1976307,0.1756831
0.1844534,0.181835,0.1693441,0.1956352,0.1781067
0.1861226,0.1740406,0.1760628,0.185871,0.165413
0.1786957,0.1780833,0.1858158,0.1914816,0.1691407
0.1831346,0.1899377,0.1912725,0.1802015,0.1800341
0.1850785,0.2075229,0.1935565,0.1799841,0.1772686
0.1899586,0.1998484,0.1735736,0.1964758,0.1715641
0.1818461,0.1920715,0.1751029,0.1818564,0.1806166
0.1814615,0.2016838,0.1835453,0.2044231,0.1799234
0.1644519,0.2008117,0.1889529,0.2052777,0.1752028
0.1733499,0.2033802,0.2018162,0.1904412,0.1843245
0.1803516,0.2096516,0.1907243,0.2064354,0.1905992
0.180314,0.1977983,0.1969331,0.2035983,0.1872156
0.2012555,0.1908157,0.2034741,0.2119592,0.175105
0.1968498,0.2073791,0.1990527,0.209629,0.1742425
0.1901928,0.1953321,0.2149556,0.1963189,0.1726869
0.1921598,0.2051724,0.2054774,0.2166277,0.1806974
0.2077366,0.1969099,0.2120004,0.2026649,0.172403
0.182922,0.2047907,0.1990779,0.2085721,0.1740944
0.1946381,0.202929,0.2107754,0.2196109,0.1695787
0.2075932,0.1973634,0.2116305,0.2118689,0.1852565
0.2114028,0.2046689,0.2033941,0.1993786,0.1820208
0.2150004,0.1926057,0.2037292,0.2162656,0.1942031
0.201013,0.1953534,0.2012549,0.2046104,0.1734709
0.2090282,0.1768536,0.1972258,0.1972497,0.166097
0.2067559,0.1842524,0.215832,0.2028281,0.1831097
0.2184182,0.1814827,0.1965912,0.2030143,0.1774412
0.2265244,0.1868428,0.1982692,0.1910005,0.1865311
0.2290225,0.1860327,0.2074322,0.1952399,0.2058763
