date,proportion,proportionCILow,proportionCIHigh,variant
1/9/20,null,null,null,20H (Nextstrain clade)
1/10/20,null,null,null,20H (Nextstrain clade)
1/11/20,null,null,null,20H (Nextstrain clade)
1/12/20,null,null,null,20H (Nextstrain clade)
1/13/20,null,null,null,20H (Nextstrain clade)
1/14/20,0,0,0.964145127,20H (Nextstrain clade)
1/15/20,0,0,0.964145127,20H (Nextstrain clade)
1/16/20,0,0,0.770709328,20H (Nextstrain clade)
1/17/20,0,0,0.749235247,20H (Nextstrain clade)
1/18/20,0,0,0.709687553,20H (Nextstrain clade)
1/19/20,0,0,0.641921119,20H (Nextstrain clade)
1/20/20,0,0,0.626954508,20H (Nextstrain clade)
1/21/20,0,0,0.641921119,20H (Nextstrain clade)
1/22/20,0,0,0.585968349,20H (Nextstrain clade)
1/23/20,0,0,0.641921119,20H (Nextstrain clade)
1/24/20,0,0,0.626954508,20H (Nextstrain clade)
1/25/20,0,0,0.626954508,20H (Nextstrain clade)
1/26/20,0,0,0.626954508,20H (Nextstrain clade)
1/27/20,0,0,0.641921119,20H (Nextstrain clade)
1/28/20,0,0,0.626954508,20H (Nextstrain clade)
1/29/20,0,0,0.691439065,20H (Nextstrain clade)
1/30/20,0,0,0.709687553,20H (Nextstrain clade)
1/31/20,0,0,0.749235247,20H (Nextstrain clade)
2/1/20,0,0,0.793450683,20H (Nextstrain clade)
2/2/20,0,0,0.899632694,20H (Nextstrain clade)
2/3/20,0,0,0.870509141,20H (Nextstrain clade)
2/4/20,0,0,0.899632694,20H (Nextstrain clade)
2/5/20,0,0,0.870509141,20H (Nextstrain clade)
2/6/20,0,0,0.9307724,20H (Nextstrain clade)
2/7/20,0,0,0.899632694,20H (Nextstrain clade)
2/8/20,0,0,0.870509141,20H (Nextstrain clade)
2/9/20,0,0,0.870509141,20H (Nextstrain clade)
2/10/20,0,0,0.899632694,20H (Nextstrain clade)
2/11/20,0,0,0.899632694,20H (Nextstrain clade)
2/12/20,0,0,0.9307724,20H (Nextstrain clade)
2/13/20,0,0,0.9307724,20H (Nextstrain clade)
2/14/20,0,0,0.728925381,20H (Nextstrain clade)
2/15/20,0,0,0.641921119,20H (Nextstrain clade)
2/16/20,0,0,0.641921119,20H (Nextstrain clade)
2/17/20,0,0,0.612669899,20H (Nextstrain clade)
2/18/20,0,0,0.508415654,20H (Nextstrain clade)
2/19/20,0,0,0.472668509,20H (Nextstrain clade)
2/20/20,0,2.97E-17,0.464503596,20H (Nextstrain clade)
2/21/20,0,2.97E-17,0.464503596,20H (Nextstrain clade)
2/22/20,0,0,0.472668509,20H (Nextstrain clade)
2/23/20,0,0,0.414395497,20H (Nextstrain clade)
2/24/20,0,0,0.374045518,20H (Nextstrain clade)
2/25/20,0,0,0.286400584,20H (Nextstrain clade)
2/26/20,0,0,0.192223681,20H (Nextstrain clade)
2/27/20,0,0,0.150316841,20H (Nextstrain clade)
2/28/20,0,0,0.105497231,20H (Nextstrain clade)
2/29/20,0,6.35E-18,0.084856554,20H (Nextstrain clade)
3/1/20,0,0,0.066413587,20H (Nextstrain clade)
3/2/20,0,0,0.049899239,20H (Nextstrain clade)
3/3/20,0,0,0.044528311,20H (Nextstrain clade)
3/4/20,0,0,0.040873402,20H (Nextstrain clade)
3/5/20,0,0,0.034657238,20H (Nextstrain clade)
3/6/20,0,0,0.029263791,20H (Nextstrain clade)
3/7/20,0,0,0.024970244,20H (Nextstrain clade)
3/8/20,0,0,0.021600468,20H (Nextstrain clade)
3/9/20,0,0,0.017645767,20H (Nextstrain clade)
3/10/20,0,0,0.01313069,20H (Nextstrain clade)
3/11/20,0,0,0.010683903,20H (Nextstrain clade)
3/12/20,0,0,0.008472319,20H (Nextstrain clade)
3/13/20,0,0,0.006807838,20H (Nextstrain clade)
3/14/20,0,4.31E-19,0.005910079,20H (Nextstrain clade)
3/15/20,0,0,0.005193276,20H (Nextstrain clade)
3/16/20,0,0,0.004828648,20H (Nextstrain clade)
3/17/20,0,0,0.004756896,20H (Nextstrain clade)
3/18/20,0,0,0.004804491,20H (Nextstrain clade)
3/19/20,0,0,0.005165344,20H (Nextstrain clade)
3/20/20,0,4.31E-19,0.005490162,20H (Nextstrain clade)
3/21/20,0,0,0.00547786,20H (Nextstrain clade)
3/22/20,0,0,0.005484563,20H (Nextstrain clade)
3/23/20,0,0,0.005465612,20H (Nextstrain clade)
3/24/20,0,0,0.005333359,20H (Nextstrain clade)
3/25/20,0,0,0.005262385,20H (Nextstrain clade)
3/26/20,0,0,0.005224555,20H (Nextstrain clade)
3/27/20,0,0,0.005012258,20H (Nextstrain clade)
3/28/20,0,0,0.005043279,20H (Nextstrain clade)
3/29/20,0,0,0.004945881,20H (Nextstrain clade)
3/30/20,0,0,0.004936801,20H (Nextstrain clade)
3/31/20,0,0,0.004932273,20H (Nextstrain clade)
4/1/20,0,4.32E-19,0.004970565,20H (Nextstrain clade)
4/2/20,0,0,0.005003863,20H (Nextstrain clade)
4/3/20,0,0,0.005134767,20H (Nextstrain clade)
4/4/20,0,4.31E-19,0.005297635,20H (Nextstrain clade)
4/5/20,0,0,0.005579009,20H (Nextstrain clade)
4/6/20,0,0,0.005806705,20H (Nextstrain clade)
4/7/20,0,0,0.006017201,20H (Nextstrain clade)
4/8/20,0,0,0.006128278,20H (Nextstrain clade)
4/9/20,0,0,0.006305018,20H (Nextstrain clade)
4/10/20,0,4.31E-19,0.006262436,20H (Nextstrain clade)
4/11/20,0,0,0.006302063,20H (Nextstrain clade)
4/12/20,0,0,0.006404123,20H (Nextstrain clade)
4/13/20,0,0,0.006611984,20H (Nextstrain clade)
4/14/20,0,0,0.006825117,20H (Nextstrain clade)
4/15/20,0,0,0.006955762,20H (Nextstrain clade)
4/16/20,0,0,0.006966574,20H (Nextstrain clade)
4/17/20,0,0,0.007269805,20H (Nextstrain clade)
4/18/20,0,0,0.007236546,20H (Nextstrain clade)
4/19/20,0,0,0.007530394,20H (Nextstrain clade)
4/20/20,0,0,0.007536726,20H (Nextstrain clade)
4/21/20,0,0,0.00747804,20H (Nextstrain clade)
4/22/20,0,0,0.007661269,20H (Nextstrain clade)
4/23/20,0,0,0.00780356,20H (Nextstrain clade)
4/24/20,0,0,0.007747353,20H (Nextstrain clade)
4/25/20,0,0,0.007879014,20H (Nextstrain clade)
4/26/20,0,0,0.007602784,20H (Nextstrain clade)
4/27/20,0,0,0.007244344,20H (Nextstrain clade)
4/28/20,0,0,0.007134782,20H (Nextstrain clade)
4/29/20,0,0,0.007087767,20H (Nextstrain clade)
4/30/20,0,0,0.00713289,20H (Nextstrain clade)
5/1/20,0,0,0.007136676,20H (Nextstrain clade)
5/2/20,0,4.31E-19,0.006995572,20H (Nextstrain clade)
5/3/20,0,0,0.007311314,20H (Nextstrain clade)
5/4/20,0.000283849,9.84E-06,0.008128502,20H (Nextstrain clade)
5/5/20,0.000294204,1.02E-05,0.008422711,20H (Nextstrain clade)
5/6/20,0.000292997,1.02E-05,0.008388431,20H (Nextstrain clade)
5/7/20,0.0002918,1.01E-05,0.00835443,20H (Nextstrain clade)
5/8/20,0.000301841,1.05E-05,0.008639588,20H (Nextstrain clade)
5/9/20,0.00031837,1.10E-05,0.009108668,20H (Nextstrain clade)
5/10/20,0.000314169,1.09E-05,0.008989486,20H (Nextstrain clade)
5/11/20,0,8.60E-19,0.00806088,20H (Nextstrain clade)
5/12/20,0,0,0.00802001,20H (Nextstrain clade)
5/13/20,0,0,0.008335749,20H (Nextstrain clade)
5/14/20,0,0,0.008429823,20H (Nextstrain clade)
5/15/20,0,0,0.008822566,20H (Nextstrain clade)
5/16/20,0,0,0.008919135,20H (Nextstrain clade)
5/17/20,0,0,0.009187298,20H (Nextstrain clade)
5/18/20,0,0,0.009904714,20H (Nextstrain clade)
5/19/20,0,0,0.010011657,20H (Nextstrain clade)
5/20/20,0,8.59E-19,0.010049071,20H (Nextstrain clade)
5/21/20,0,0,0.010056588,20H (Nextstrain clade)
5/22/20,0,0,0.010882803,20H (Nextstrain clade)
5/23/20,0,0,0.010529118,20H (Nextstrain clade)
5/24/20,0,0,0.01043514,20H (Nextstrain clade)
5/25/20,0,0,0.011107572,20H (Nextstrain clade)
5/26/20,0,0,0.011385039,20H (Nextstrain clade)
5/27/20,0,0,0.011289442,20H (Nextstrain clade)
5/28/20,0,0,0.011270515,20H (Nextstrain clade)
5/29/20,0,0,0.010471714,20H (Nextstrain clade)
5/30/20,0,0,0.011121353,20H (Nextstrain clade)
5/31/20,0,0,0.01117218,20H (Nextstrain clade)
6/1/20,0,8.58E-19,0.010799758,20H (Nextstrain clade)
6/2/20,0,0,0.010830206,20H (Nextstrain clade)
6/3/20,0,0,0.010944816,20H (Nextstrain clade)
6/4/20,0,0,0.01105733,20H (Nextstrain clade)
6/5/20,0,8.58E-19,0.010786761,20H (Nextstrain clade)
6/6/20,0,0,0.01053737,20H (Nextstrain clade)
6/7/20,0,0,0.010570508,20H (Nextstrain clade)
6/8/20,0,0,0.010483962,20H (Nextstrain clade)
6/9/20,0,0,0.010747958,20H (Nextstrain clade)
6/10/20,0,0,0.009915671,20H (Nextstrain clade)
6/11/20,0,0,0.009573251,20H (Nextstrain clade)
6/12/20,0,0,0.00880235,20H (Nextstrain clade)
6/13/20,0,0,0.00820101,20H (Nextstrain clade)
6/14/20,0,0,0.00809729,20H (Nextstrain clade)
6/15/20,0,0,0.007383586,20H (Nextstrain clade)
6/16/20,0,0,0.006748043,20H (Nextstrain clade)
6/17/20,0,0,0.006705972,20H (Nextstrain clade)
6/18/20,0,0,0.006348184,20H (Nextstrain clade)
6/19/20,0,0,0.00615493,20H (Nextstrain clade)
6/20/20,0,0,0.006103241,20H (Nextstrain clade)
6/21/20,0,4.31E-19,0.005645776,20H (Nextstrain clade)
6/22/20,0,4.31E-19,0.005582484,20H (Nextstrain clade)
6/23/20,0,0,0.00553993,20H (Nextstrain clade)
6/24/20,0,0,0.005568611,20H (Nextstrain clade)
6/25/20,0,0,0.005681562,20H (Nextstrain clade)
6/26/20,0,0,0.005601089,20H (Nextstrain clade)
6/27/20,0,4.31E-19,0.005508156,20H (Nextstrain clade)
6/28/20,0,0,0.0054281,20H (Nextstrain clade)
6/29/20,0,4.31E-19,0.00527167,20H (Nextstrain clade)
6/30/20,0,0,0.005414983,20H (Nextstrain clade)
7/1/20,0,0,0.005468947,20H (Nextstrain clade)
7/2/20,0,0,0.005489041,20H (Nextstrain clade)
7/3/20,0,0,0.005503646,20H (Nextstrain clade)
7/4/20,0,0,0.005124981,20H (Nextstrain clade)
7/5/20,0,0,0.004833856,20H (Nextstrain clade)
7/6/20,0,0,0.004618811,20H (Nextstrain clade)
7/7/20,0,0,0.004326043,20H (Nextstrain clade)
7/8/20,0,0,0.004256201,20H (Nextstrain clade)
7/9/20,0,0,0.004222119,20H (Nextstrain clade)
7/10/20,0,0,0.004112351,20H (Nextstrain clade)
7/11/20,0,0,0.004167158,20H (Nextstrain clade)
7/12/20,0,0,0.00428332,20H (Nextstrain clade)
7/13/20,0,0,0.004564711,20H (Nextstrain clade)
7/14/20,0,0,0.004633934,20H (Nextstrain clade)
7/15/20,0,0,0.00459121,20H (Nextstrain clade)
7/16/20,0,0,0.004574807,20H (Nextstrain clade)
7/17/20,0,0,0.00469543,20H (Nextstrain clade)
7/18/20,0,0,0.004706113,20H (Nextstrain clade)
7/19/20,0,4.32E-19,0.004876813,20H (Nextstrain clade)
7/20/20,0,0,0.004867103,20H (Nextstrain clade)
7/21/20,0,0,0.005057507,20H (Nextstrain clade)
7/22/20,0,4.31E-19,0.005124004,20H (Nextstrain clade)
7/23/20,0,0,0.005280988,20H (Nextstrain clade)
7/24/20,0,0,0.005268572,20H (Nextstrain clade)
7/25/20,0,4.31E-19,0.005582484,20H (Nextstrain clade)
7/26/20,0,0,0.005781734,20H (Nextstrain clade)
7/27/20,0,0,0.005906185,20H (Nextstrain clade)
7/28/20,0,0,0.005965143,20H (Nextstrain clade)
7/29/20,0,0,0.005975748,20H (Nextstrain clade)
7/30/20,0,0,0.006036111,20H (Nextstrain clade)
7/31/20,0,0,0.006252243,20H (Nextstrain clade)
8/1/20,0,0,0.006281453,20H (Nextstrain clade)
8/2/20,0,0,0.006339205,20H (Nextstrain clade)
8/3/20,0,4.31E-19,0.00651112,20H (Nextstrain clade)
8/4/20,0,0,0.006620123,20H (Nextstrain clade)
8/5/20,0,0,0.006828583,20H (Nextstrain clade)
8/6/20,0,0,0.00676502,20H (Nextstrain clade)
8/7/20,0,0,0.007034,20H (Nextstrain clade)
8/8/20,0,4.31E-19,0.007138571,20H (Nextstrain clade)
8/9/20,0,0,0.007269805,20H (Nextstrain clade)
8/10/20,0,0,0.007379534,20H (Nextstrain clade)
8/11/20,0,0,0.007486368,20H (Nextstrain clade)
8/12/20,0,0,0.007560034,20H (Nextstrain clade)
8/13/20,0,0,0.007609238,20H (Nextstrain clade)
8/14/20,0,0,0.007617861,20H (Nextstrain clade)
8/15/20,0,0,0.007879014,20H (Nextstrain clade)
8/16/20,0,0,0.007996161,20H (Nextstrain clade)
